,CustomerID,recency,frequency,monetary,rq,fq,mq,r_total,rfm_score,segment_5,segment_3,segment_4
0,12346,325,1,77183.6,1,1,4,6,114,Hibernating,low,Hibernating
1,12747,1,11,4196.01,4,4,4,12,444,Champions,high,Best of the Best
2,12748,0,209,33719.73,4,4,4,12,444,Champions,high,Best of the Best
3,12749,3,5,4090.88,4,3,4,11,434,Potential Loyalists,high,Best of the Best
4,12820,2,4,942.34,4,3,3,10,433,Potential Loyalists,high,Best of the Best
5,12821,213,1,92.71999999999998,1,1,1,3,111,Hibernating,low,Hibernating
6,12822,70,2,948.8800000000001,2,2,3,7,223,Hibernating,moderate,Hibernating
7,12823,74,5,1759.5,2,3,4,9,234,Can't Loose Them,moderate,Can't Loose Them
8,12824,59,1,397.12,2,1,2,5,212,Hibernating,low,Hibernating
9,12826,2,7,1474.7199999999998,4,4,3,11,443,Champions,high,Best of the Best
10,12827,5,3,430.15,4,3,2,9,432,Potential Loyalists,moderate,High Potential
11,12828,2,6,1018.71,4,4,3,11,443,Champions,high,Best of the Best
12,12829,336,2,293.0,1,2,1,4,121,Hibernating,low,Hibernating
13,12830,37,6,6814.64,3,4,4,11,344,Potential Loyalists,high,Best of the Best
14,12831,261,1,215.05,1,1,1,3,111,Hibernating,low,Hibernating
15,12832,31,2,383.03,3,2,2,7,322,New Customers,moderate,High Potential
16,12833,144,1,417.37999999999994,1,1,2,4,112,Hibernating,low,Hibernating
17,12834,282,1,312.38,1,1,2,4,112,Hibernating,low,Hibernating
18,12836,58,4,2612.86,2,3,4,9,234,Can't Loose Them,moderate,Can't Loose Them
19,12837,172,1,134.1,1,1,1,3,111,Hibernating,low,Hibernating
20,12838,33,2,683.13,3,2,3,8,323,New Customers,moderate,High Potential
21,12839,2,14,5591.42,4,4,4,12,444,Champions,high,Best of the Best
22,12840,143,4,2726.77,1,3,4,8,134,Can't Loose Them,moderate,Can't Loose Them
23,12841,4,25,4022.35,4,4,4,12,444,Champions,high,Best of the Best
24,12842,69,2,1118.99,2,2,3,7,223,Hibernating,moderate,Hibernating
25,12843,65,8,1702.26,2,4,4,10,244,Can't Loose Them,high,Can't Loose Them
26,12844,28,2,325.96000000000004,3,2,2,7,322,New Customers,moderate,High Potential
27,12845,266,4,354.0899999999999,1,3,2,6,132,Can't Loose Them,low,Can't Loose Them
28,12847,21,1,871.54,3,1,3,7,313,New Customers,moderate,High Potential
29,12849,30,2,1050.8899999999999,3,2,3,8,323,New Customers,moderate,High Potential
30,12851,96,1,135.18,2,1,1,4,211,Hibernating,low,Hibernating
31,12852,294,1,311.55,1,1,2,4,112,Hibernating,low,Hibernating
32,12853,134,6,1957.1000000000001,2,4,4,10,244,Can't Loose Them,high,Can't Loose Them
33,12854,78,3,1324.5,2,3,3,8,233,Can't Loose Them,moderate,Can't Loose Them
34,12855,372,1,38.1,1,1,1,3,111,Hibernating,low,Hibernating
35,12856,7,6,2179.93,4,4,4,12,444,Champions,high,Best of the Best
36,12857,210,2,1106.4,1,2,3,6,123,Hibernating,low,Hibernating
37,12863,51,1,521.2,2,1,2,5,212,Hibernating,low,Hibernating
38,12864,137,1,147.12,2,1,1,4,211,Hibernating,low,Hibernating
39,12867,25,7,4036.82,3,4,4,11,344,Potential Loyalists,high,Best of the Best
40,12868,185,6,1607.0600000000002,1,4,4,9,144,Can't Loose Them,moderate,Can't Loose Them
